ª›ÃﬂŸ:	'Chlorosome@GUV
Ãß≤Ÿñº:	Ni_3C6F5_dithiophene_OH_2.UDS
ï™êÕì˙éû:	14:50:25, 10/15/2021
µÕﬂ⁄∞¿:	Administrator
∫“›ƒ:	'from tepidum in GUV:Lecithin/DOPG/Chol=85/15/5 solvent:OS

√ﬁ∞¿ÿΩƒ
nm	Abs
429.00	1.026
428.50	1.052
428.00	1.077
427.50	1.103
427.00	1.128
426.50	1.154
426.00	1.178
425.50	1.202
425.00	1.226
424.50	1.247
424.00	1.268
423.50	1.286
423.00	1.303
422.50	1.318
422.00	1.331
421.50	1.342
421.00	1.351
420.50	1.357
420.00	1.360
419.50	1.362
419.00	1.360
418.50	1.357
418.00	1.350
417.50	1.341
417.00	1.329
416.50	1.315
416.00	1.298
415.50	1.280
415.00	1.260
414.50	1.239
414.00	1.216
413.50	1.191
413.00	1.165
412.50	1.137
412.00	1.109
411.50	1.079
411.00	1.048
410.50	1.017
410.00	0.985
409.50	0.953
409.00	0.922
408.50	0.891
408.00	0.860
407.50	0.831
407.00	0.802
406.50	0.774
406.00	0.747
405.50	0.721
405.00	0.696
404.50	0.672
404.00	0.648
403.50	0.626
403.00	0.604
402.50	0.583
402.00	0.563
401.50	0.545
401.00	0.527
400.50	0.510
400.00	0.494
399.50	0.479
399.00	0.465
398.50	0.452
398.00	0.439
397.50	0.427
397.00	0.415
396.50	0.404
396.00	0.394
395.50	0.384
395.00	0.374
394.50	0.364
394.00	0.355
393.50	0.347
393.00	0.338
392.50	0.330
392.00	0.323
391.50	0.315
391.00	0.308
390.50	0.301
390.00	0.295
389.50	0.288
389.00	0.282
388.50	0.276
388.00	0.270
387.50	0.265
387.00	0.259
386.50	0.254
386.00	0.248
385.50	0.243
385.00	0.238
384.50	0.233
384.00	0.229
383.50	0.224
383.00	0.220
382.50	0.216
382.00	0.212
381.50	0.209
381.00	0.205
380.50	0.201
380.00	0.198
379.50	0.194
379.00	0.191
378.50	0.188
378.00	0.185
377.50	0.182
377.00	0.180
376.50	0.177
376.00	0.175
375.50	0.172
375.00	0.170
374.50	0.168
374.00	0.166
373.50	0.164
373.00	0.162
372.50	0.160
372.00	0.158
371.50	0.157
371.00	0.155
370.50	0.154
370.00	0.152
369.50	0.151
369.00	0.149
368.50	0.148
368.00	0.147
367.50	0.146
367.00	0.144
366.50	0.143
366.00	0.142
365.50	0.141
365.00	0.140
364.50	0.139
364.00	0.138
363.50	0.138
363.00	0.137
362.50	0.136
362.00	0.136
361.50	0.135
361.00	0.135
360.50	0.134
360.00	0.133
359.50	0.132
359.00	0.132
358.50	0.131
358.00	0.131
357.50	0.131
357.00	0.131
356.50	0.130
356.00	0.130
355.50	0.130
355.00	0.130
354.50	0.130
354.00	0.130
353.50	0.130
353.00	0.131
352.50	0.131
352.00	0.131
351.50	0.131
351.00	0.131
350.50	0.131
350.00	0.131
349.50	0.131
349.00	0.132
348.50	0.132
348.00	0.132
347.50	0.133
347.00	0.133
346.50	0.133
346.00	0.134
345.50	0.134
345.00	0.135
344.50	0.135
344.00	0.136
343.50	0.136
343.00	0.137
342.50	0.137
342.00	0.138
341.50	0.138
341.00	0.139
340.50	0.139
340.00	0.140
339.50	0.141
339.00	0.141
338.50	0.142
338.00	0.142
337.50	0.143
337.00	0.144
336.50	0.145
336.00	0.145
335.50	0.146
335.00	0.147
334.50	0.147
334.00	0.148
333.50	0.149
333.00	0.150
332.50	0.151
332.00	0.152
331.50	0.153
331.00	0.153
330.50	0.154
330.00	0.155
329.50	0.156
329.00	0.157
328.50	0.157
328.00	0.159
327.50	0.160
327.00	0.161
326.50	0.162
326.00	0.163
325.50	0.164
325.00	0.165
324.50	0.166
324.00	0.167
323.50	0.168
323.00	0.168
322.50	0.169
322.00	0.170
321.50	0.171
321.00	0.172
320.50	0.173
320.00	0.174
319.50	0.175
319.00	0.175
318.50	0.175
318.00	0.176
317.50	0.177
317.00	0.179
316.50	0.180
316.00	0.181
315.50	0.182
315.00	0.184
314.50	0.185
314.00	0.186
313.50	0.187
313.00	0.189
312.50	0.190
312.00	0.191
311.50	0.193
311.00	0.194
310.50	0.195
310.00	0.196
309.50	0.197
309.00	0.198
308.50	0.199
308.00	0.200
307.50	0.201
307.00	0.202
306.50	0.203
306.00	0.204
305.50	0.205
305.00	0.205
304.50	0.206
304.00	0.207
303.50	0.208
303.00	0.208
302.50	0.209
