ª›ÃﬂŸ:	'Chlorosome@GUV
Ãß≤Ÿñº:	Ni_3C6F5_thiophene_OH_max.UDS
ï™êÕì˙éû:	18:02:11, 10/15/2021
µÕﬂ⁄∞¿:	Administrator
∫“›ƒ:	'from tepidum in GUV:Lecithin/DOPG/Chol=85/15/5 solvent:OS

√ﬁ∞¿ÿΩƒ
nm	Abs
421.50	0.710
421.00	0.699
420.50	0.687
420.00	0.675
419.50	0.663
419.00	0.650
418.50	0.638
418.00	0.625
417.50	0.612
417.00	0.599
416.50	0.586
416.00	0.573
415.50	0.561
415.00	0.549
414.50	0.537
414.00	0.525
413.50	0.514
413.00	0.503
412.50	0.492
412.00	0.481
411.50	0.471
411.00	0.461
410.50	0.451
410.00	0.442
409.50	0.432
409.00	0.423
408.50	0.414
408.00	0.406
407.50	0.398
407.00	0.390
406.50	0.382
406.00	0.375
405.50	0.368
405.00	0.361
404.50	0.355
404.00	0.348
403.50	0.342
403.00	0.335
402.50	0.329
402.00	0.323
401.50	0.317
401.00	0.311
400.50	0.305
400.00	0.300
399.50	0.295
399.00	0.289
398.50	0.284
398.00	0.279
397.50	0.275
397.00	0.270
396.50	0.265
396.00	0.261
395.50	0.257
395.00	0.253
394.50	0.249
394.00	0.245
393.50	0.242
393.00	0.239
392.50	0.236
392.00	0.233
391.50	0.231
391.00	0.228
390.50	0.226
390.00	0.225
389.50	0.223
389.00	0.222
388.50	0.220
388.00	0.219
387.50	0.218
387.00	0.218
386.50	0.217
386.00	0.216
385.50	0.215
385.00	0.215
384.50	0.215
384.00	0.214
383.50	0.214
383.00	0.214
382.50	0.213
382.00	0.213
381.50	0.213
381.00	0.212
380.50	0.212
380.00	0.211
379.50	0.210
379.00	0.209
378.50	0.208
378.00	0.207
377.50	0.206
377.00	0.205
376.50	0.204
376.00	0.202
375.50	0.201
375.00	0.199
374.50	0.197
374.00	0.195
373.50	0.193
373.00	0.191
372.50	0.189
372.00	0.187
371.50	0.185
371.00	0.184
370.50	0.182
370.00	0.180
369.50	0.178
369.00	0.176
368.50	0.174
368.00	0.173
367.50	0.171
367.00	0.169
366.50	0.168
366.00	0.166
365.50	0.165
365.00	0.164
364.50	0.162
364.00	0.161
363.50	0.160
363.00	0.159
362.50	0.158
362.00	0.157
361.50	0.156
361.00	0.155
360.50	0.155
360.00	0.154
359.50	0.153
359.00	0.152
358.50	0.152
358.00	0.151
