ª›ÃﬂŸ:	'Chlorosome@GUV
Ãß≤Ÿñº:	Ni_3C6F5_dithiophene_OH_max.UDS
ï™êÕì˙éû:	18:10:19, 10/15/2021
µÕﬂ⁄∞¿:	Administrator
∫“›ƒ:	'from tepidum in GUV:Lecithin/DOPG/Chol=85/15/5 solvent:OS

√ﬁ∞¿ÿΩƒ
nm	Abs
310.00	0.228
309.50	0.228
309.00	0.229
308.50	0.229
308.00	0.229
307.50	0.230
307.00	0.230
306.50	0.231
306.00	0.231
305.50	0.232
305.00	0.233
304.50	0.233
304.00	0.234
303.50	0.235
303.00	0.236
302.50	0.237
302.00	0.238
301.50	0.239
301.00	0.241
300.50	0.243
300.00	0.244
299.50	0.246
299.00	0.248
298.50	0.249
298.00	0.251
297.50	0.253
297.00	0.254
296.50	0.256
296.00	0.257
295.50	0.258
295.00	0.260
294.50	0.261
294.00	0.263
293.50	0.264
293.00	0.266
292.50	0.268
292.00	0.269
291.50	0.270
291.00	0.272
290.50	0.273
290.00	0.274
289.50	0.276
289.00	0.276
288.50	0.277
288.00	0.278
287.50	0.279
287.00	0.279
286.50	0.280
286.00	0.280
285.50	0.281
285.00	0.281
284.50	0.282
284.00	0.282
283.50	0.282
283.00	0.282
282.50	0.282
282.00	0.281
281.50	0.281
281.00	0.281
280.50	0.280
280.00	0.280
279.50	0.280
279.00	0.279
278.50	0.279
278.00	0.278
277.50	0.278
277.00	0.278
276.50	0.278
276.00	0.278
275.50	0.278
275.00	0.278
274.50	0.277
274.00	0.277
273.50	0.277
273.00	0.277
272.50	0.277
272.00	0.277
271.50	0.277
271.00	0.277
270.50	0.278
270.00	0.278
269.50	0.278
269.00	0.279
268.50	0.279
268.00	0.280
267.50	0.280
267.00	0.281
266.50	0.282
266.00	0.282
265.50	0.283
265.00	0.284
264.50	0.284
264.00	0.285
263.50	0.286
263.00	0.286
262.50	0.287
262.00	0.288
261.50	0.289
261.00	0.290
260.50	0.292
260.00	0.293
259.50	0.294
259.00	0.296
258.50	0.297
258.00	0.298
257.50	0.300
257.00	0.301
256.50	0.302
256.00	0.303
255.50	0.304
255.00	0.305
254.50	0.306
254.00	0.307
253.50	0.308
253.00	0.309
252.50	0.310
252.00	0.311
251.50	0.312
251.00	0.313
250.50	0.313
250.00	0.314

