ª›ÃﬂŸ:	'Chlorosome@GUV
Ãß≤Ÿñº:	Ni_3C6F5_thiophene_OH_7.UDS
ï™êÕì˙éû:	16:57:00, 10/15/2021
µÕﬂ⁄∞¿:	Administrator
∫“›ƒ:	'from tepidum in GUV:Lecithin/DOPG/Chol=85/15/5 solvent:OS

√ﬁ∞¿ÿΩƒ
nm	Abs
425.50	0.796
425.00	0.796
424.50	0.794
424.00	0.793
423.50	0.790
423.00	0.787
422.50	0.783
422.00	0.778
421.50	0.772
421.00	0.767
420.50	0.760
420.00	0.753
419.50	0.745
419.00	0.736
418.50	0.727
418.00	0.717
417.50	0.707
417.00	0.696
416.50	0.685
416.00	0.674
415.50	0.663
415.00	0.651
414.50	0.640
414.00	0.628
413.50	0.616
413.00	0.604
412.50	0.592
412.00	0.579
411.50	0.567
411.00	0.554
410.50	0.541
410.00	0.529
409.50	0.516
409.00	0.504
408.50	0.491
408.00	0.479
407.50	0.467
407.00	0.456
406.50	0.445
406.00	0.434
405.50	0.423
405.00	0.413
404.50	0.403
404.00	0.394
403.50	0.385
403.00	0.375
402.50	0.366
402.00	0.358
401.50	0.349
401.00	0.341
400.50	0.333
400.00	0.326
399.50	0.319
399.00	0.312
398.50	0.305
398.00	0.299
397.50	0.292
397.00	0.286
396.50	0.281
396.00	0.276
395.50	0.271
395.00	0.266
394.50	0.261
394.00	0.257
393.50	0.252
393.00	0.248
392.50	0.245
392.00	0.241
391.50	0.239
391.00	0.236
390.50	0.233
390.00	0.231
389.50	0.229
389.00	0.227
388.50	0.225
388.00	0.223
387.50	0.221
387.00	0.220
386.50	0.218
386.00	0.217
385.50	0.216
385.00	0.214
384.50	0.213
384.00	0.212
383.50	0.211
383.00	0.210
382.50	0.209
382.00	0.208
381.50	0.207
381.00	0.206
380.50	0.205
380.00	0.204
379.50	0.203
379.00	0.202
378.50	0.200
378.00	0.199
377.50	0.197
377.00	0.196
376.50	0.194
376.00	0.192
375.50	0.190
375.00	0.189
374.50	0.187
374.00	0.185
373.50	0.183
373.00	0.181
372.50	0.179
372.00	0.177
371.50	0.175
371.00	0.173
370.50	0.171
370.00	0.170
369.50	0.168
369.00	0.166
368.50	0.165
368.00	0.163
367.50	0.162
367.00	0.160
366.50	0.159
366.00	0.157
365.50	0.156
365.00	0.155
364.50	0.154
364.00	0.153
363.50	0.152
363.00	0.151
362.50	0.150
362.00	0.150
361.50	0.149
361.00	0.148
360.50	0.148
360.00	0.147
359.50	0.147
359.00	0.146
358.50	0.146
358.00	0.145
357.50	0.145
357.00	0.145
356.50	0.145
356.00	0.145
355.50	0.145
355.00	0.145
354.50	0.145
354.00	0.146
353.50	0.146
353.00	0.146
352.50	0.147
352.00	0.147
351.50	0.148
351.00	0.149
350.50	0.149
350.00	0.150
349.50	0.151
349.00	0.152
348.50	0.152
348.00	0.153
347.50	0.154
347.00	0.155
346.50	0.156
346.00	0.157
345.50	0.158
345.00	0.159
344.50	0.160
344.00	0.161
343.50	0.161
343.00	0.162
342.50	0.163
342.00	0.163
341.50	0.164
341.00	0.165
340.50	0.165
340.00	0.165
339.50	0.165
339.00	0.166
338.50	0.166
338.00	0.166
337.50	0.166
337.00	0.166
336.50	0.166
336.00	0.166
335.50	0.166
335.00	0.166
334.50	0.165
334.00	0.165
333.50	0.164
333.00	0.164
332.50	0.163
332.00	0.163
331.50	0.163
331.00	0.162
330.50	0.162
330.00	0.161
329.50	0.160
329.00	0.159
328.50	0.158
328.00	0.158
327.50	0.158
327.00	0.157
326.50	0.157
326.00	0.157
325.50	0.157
325.00	0.156
324.50	0.157
324.00	0.156
323.50	0.156
323.00	0.156
322.50	0.156
322.00	0.156
321.50	0.157
321.00	0.157
320.50	0.157
